(0.000000, 0.000000)  ---   (5.000000, 0.000000)
(5.000000, 0.000000)  ---   (6.542680, 4.756063)
(6.542680, 4.756063)  ---   (2.494624, 7.690896)
(2.494624, 7.690896)  ---   (-1.545997, 4.745835)
(-1.545997, 4.745835)  ---   (0.000000, 0.000000)
(2.494624, 7.690896)  ---   (6.542680, 4.756063)
(6.542680, 4.756063)  ---   (10.583300, 7.701124)
(10.583300, 7.701124)  ---   (9.028598, 12.453271)
(9.028598, 12.453271)  ---   (4.028614, 12.440626)
(4.028614, 12.440626)  ---   (2.494624, 7.690896)
(6.545997, -4.745835)  ---   (11.545997, -4.745835)
(11.545997, -4.745835)  ---   (13.088677, 0.010228)
(13.088677, 0.010228)  ---   (9.040621, 2.945061)
(9.040621, 2.945061)  ---   (5.000000, 0.000000)
(5.000000, 0.000000)  ---   (6.545997, -4.745835)
(9.040621, 2.945061)  ---   (13.088677, 0.010228)
(13.088677, 0.010228)  ---   (17.129298, 2.955289)
(17.129298, 2.955289)  ---   (15.574595, 7.707436)
(15.574595, 7.707436)  ---   (10.574611, 7.694791)
(10.574611, 7.694791)  ---   (9.040621, 2.945061)
(4.028614, 12.440626)  ---   (9.028614, 12.440626)
(9.028614, 12.440626)  ---   (10.571293, 17.196690)
(10.571293, 17.196690)  ---   (6.523237, 20.131523)
(6.523237, 20.131523)  ---   (2.482617, 17.186462)
(2.482617, 17.186462)  ---   (4.028614, 12.440626)
(6.523237, 20.131523)  ---   (10.571293, 17.196690)
(10.571293, 17.196690)  ---   (14.611914, 20.141751)
(14.611914, 20.141751)  ---   (13.057212, 24.893897)
(13.057212, 24.893897)  ---   (8.057228, 24.881253)
(8.057228, 24.881253)  ---   (6.523237, 20.131523)
(10.574611, 7.694791)  ---   (15.574611, 7.694791)
(15.574611, 7.694791)  ---   (17.117291, 12.450854)
(17.117291, 12.450854)  ---   (13.069235, 15.385687)
(13.069235, 15.385687)  ---   (9.028614, 12.440626)
(9.028614, 12.440626)  ---   (10.574611, 7.694791)
(13.069235, 15.385687)  ---   (17.117291, 12.450854)
(17.117291, 12.450854)  ---   (21.157911, 15.395915)
(21.157911, 15.395915)  ---   (19.603209, 20.148062)
(19.603209, 20.148062)  ---   (14.603225, 20.135417)
(14.603225, 20.135417)  ---   (13.069235, 15.385687)
